fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Original*,microsoft.com,104.215.148.63,,microsoft-com.mail.protection.outlook.com,ns1.msft.net,Singapore,,,93
Addition,microsofta.com,50.63.202.54,,,ns11.domaincontrol.com,United States,,,0
Addition,microsoftc.com,104.215.95.187,,,ns1-03.azure-dns.com,United States,,,90
Addition,microsofte.com,104.215.95.187,,,ns1-08.azure-dns.com,United States,,,93
Addition,microsoftf.com,18.213.250.117,,,ns1.dynadot.com,United States,,,0
Addition,microsoftg.com,103.224.182.246,,park-mx.above.com,ns1.above.com,Australia,,,0
Addition,microsofth.com,103.224.182.240,,park-mx.above.com,ns1.above.com,Australia,,,0
Addition,microsofti.com,212.83.172.150,,mail.microsofti.com,ns1.microsofti.com,France,,,0
Addition,microsoftk.com,104.28.10.104,2606:4700:30::681c:a68,microsoftk-com.mail.protection.outlook.com,mark.ns.cloudflare.com,United States,,,
Addition,microsoftm.com,,,,ns1.uniregistry-dns.com,,,,
Addition,microsoftn.com,69.172.201.218,,,,United States,,,0
Addition,microsofto.com,104.215.95.187,,,ns1-09.azure-dns.com,United States,,,94
Addition,microsoftp.com,52.58.78.16,2a05:d014:9da:8c10:306e:3e07:a16f:a552,,ns1.undeveloped.com,Germany,,,0
Addition,microsoftq.com,184.168.131.241,,,ns37.domaincontrol.com,United States,,,0
Addition,microsoftr.com,104.215.95.187,,,ns1-07.azure-dns.com,United States,,,94
Addition,microsofts.com,192.155.108.149,,,ns1.redmonddc.com,United States,,,0
Addition,microsoftt.com,208.73.210.202,,,ns1.dsredirection.com,United States,,,0
Addition,microsoftu.com,103.224.182.246,,park-mx.above.com,ns1.above.com,Australia,,,0
Addition,microsoftv.com,104.215.95.187,,,ns1-06.azure-dns.com,United States,,,
Addition,microsoftw.com,,,,ns1-06.azure-dns.com,,,,
Addition,microsoftx.com,47.91.169.15,,,dns15.hichina.com,United States,,,0
Addition,microsofty.com,209.207.174.13,,mail2.siteamerica.com,dns01.gpn.register.com,United States,,,
Addition,microsoftz.com,,,,ns11.xincache.com,,,,
Bitsquatting,licrosoft.com,23.20.239.12,,,nsg1.namebrightdns.com,United States,,,
Bitsquatting,eicrosoft.com,103.31.75.164,,,f1g1ns1.dnspod.net,Hong Kong,,,
Bitsquatting,mkcrosoft.com,103.224.182.246,,park-mx.above.com,ns1.above.com,Australia,,,0
Bitsquatting,macrosoft.com,184.168.131.241,,mx.ym.163.com,ns03.domaincontrol.com,United States,,,0
Bitsquatting,mycrosoft.com,208.91.196.11,,mail.b-io.co,sk.s5.ans1.ns52.ztomy.com,Virgin Islands,,,0
Bitsquatting,mibrosoft.com,103.224.182.246,,park-mx.above.com,ns1.above.com,Australia,,,0
Bitsquatting,migrosoft.com,128.65.195.25,,mta-gw.infomaniak.ch,ns1.infomaniak.ch,Switzerland,,,0
Bitsquatting,mikrosoft.com,104.215.95.187,,,ns1-07.azure-dns.com,United States,,,93
Bitsquatting,misrosoft.com,103.224.182.217,,park-mx.above.com,ns1.above.com,Australia,,,0
Bitsquatting,micsosoft.com,104.215.95.187,,,ns1-08.azure-dns.com,United States,,,93
Bitsquatting,micbosoft.com,127.0.0.1,,eforward1.registrar-servers.com,isla.ns.cloudflare.com,,,,
Bitsquatting,micrmsoft.com,192.168.1.1,,eforward1.registrar-servers.com,dns1.registrar-servers.com,,,,0
Bitsquatting,micrksoft.com,23.20.239.12,,,nsg1.namebrightdns.com,United States,,,
Bitsquatting,micrgsoft.com,75.35.182.227,,,ns-cloud-e1.googledomains.com,United States,,,
Bitsquatting,microroft.com,107.163.94.97,,,juming.dnsdun.com,United States,,,0
Bitsquatting,microqoft.com,104.215.95.187,,,ns1-07.azure-dns.com,United States,,,93
Bitsquatting,microwoft.com,199.59.242.153,,mx76.m2bp.com,ns1.bodis.com,United States,,,0
Bitsquatting,microcoft.com,185.53.179.6,,,ns1.parkingcrew.net,Germany,,,0
Bitsquatting,micro3oft.com,192.64.119.97,,eforward1.registrar-servers.com,dns1.registrar-servers.com,United States,,,0
Bitsquatting,microsnft.com,154.218.81.236,,,jm1.dns.com,,,,0
Bitsquatting,microsmft.com,192.64.119.98,,eforward1.registrar-servers.com,dns1.registrar-servers.com,United States,,,0
Bitsquatting,microskft.com,103.224.182.246,,park-mx.above.com,ns1.above.com,Australia,,,0
Bitsquatting,microsogt.com,198.58.118.167,,,ns1.mytrafficmanagement.com,United States,,,0
Bitsquatting,microsodt.com,104.215.95.187,,,ns1-05.azure-dns.com,United States,,,93
Bitsquatting,microsovt.com,208.91.196.11,,mail.b-io.co,sk.s5.ans1.ns52.ztomy.com,Virgin Islands,,,0
Bitsquatting,microsofu.com,66.254.182.29,,,ns1.maff.com,United States,,,0
Bitsquatting,microsofp.com,103.224.182.251,,park-mx.above.com,ns1.above.com,Australia,,,0
Homoglyph,xn--microsft-380d.com,184.168.221.54,,,ns41.domaincontrol.com,United States,,,
